service_date,date,bus,rail_boardings,total_rides
09/10/2001,2001-09-10,1075781,661092,1736873
09/11/2001,2001-09-11,957593,525953,1483546
09/12/2001,2001-09-12,931165,588507,1519672
09/13/2001,2001-09-13,1010171,607718,1617889
09/14/2001,2001-09-14,1034666,613645,1648311
09/15/2001,2001-09-15,615097,277875,892972
09/16/2001,2001-09-16,417392,191270,608662
09/17/2001,2001-09-17,919985,609381,1529366
09/18/2001,2001-09-18,1039365,626518,1665883
09/19/2001,2001-09-19,939442,625612,1565054
09/20/2001,2001-09-20,973094,646112,1619206
09/21/2001,2001-09-21,967583,626032,1593615
09/22/2001,2001-09-22,641096,307331,948427
09/23/2001,2001-09-23,361048,190813,551861
09/24/2001,2001-09-24,940207,622061,1562268
09/25/2001,2001-09-25,968563,638815,1607378
09/26/2001,2001-09-26,1028542,639258,1667800
09/27/2001,2001-09-27,1024125,642860,1666985
09/28/2001,2001-09-28,1024142,645884,1670026
09/29/2001,2001-09-29,639464,330008,969472
09/30/2001,2001-09-30,412037,219852,631889
10/01/2001,2001-10-01,1069361,639795,1709156
10/02/2001,2001-10-02,1078342,658020,1736362
10/03/2001,2001-10-03,1018388,657170,1675558
10/04/2001,2001-10-04,902598,649681,1552279
10/05/2001,2001-10-05,1034680,651273,1685953
10/06/2001,2001-10-06,628587,326860,955447
10/07/2001,2001-10-07,404926,287483,692409
10/08/2001,2001-10-08,802729,531294,1334023
10/09/2001,2001-10-09,1055377,645072,1700449
10/10/2001,2001-10-10,898767,637568,1536335
10/11/2001,2001-10-11,1025128,647937,1673065
10/12/2001,2001-10-12,1000153,625089,1625242
10/13/2001,2001-10-13,515481,273528,789009
10/14/2001,2001-10-14,409065,209437,618502
10/15/2001,2001-10-15,1037513,627937,1665450
10/16/2001,2001-10-16,1022047,634396,1656443
10/17/2001,2001-10-17,1036702,641266,1677968
10/18/2001,2001-10-18,1017434,646140,1663574
10/19/2001,2001-10-19,956423,642121,1598544
10/20/2001,2001-10-20,632093,319399,951492
10/21/2001,2001-10-21,433014,213638,646652
10/22/2001,2001-10-22,1012782,621894,1634676
10/23/2001,2001-10-23,1000304,638393,1638697
10/24/2001,2001-10-24,867027,625218,1492245
10/25/2001,2001-10-25,947047,618401,1565448
10/26/2001,2001-10-26,981933,613047,1594980
10/27/2001,2001-10-27,582223,291912,874135
10/28/2001,2001-10-28,405374,208481,613855
10/29/2001,2001-10-29,1019942,623086,1643028
10/30/2001,2001-10-30,994503,629005,1623508
10/31/2001,2001-10-31,978585,628587,1607172
11/01/2001,2001-11-01,1029256,641642,1670898
11/02/2001,2001-11-02,1042714,645966,1688680
11/03/2001,2001-11-03,648350,315004,963354
11/04/2001,2001-11-04,443453,222988,666441
11/05/2001,2001-11-05,1057697,629864,1687561
11/06/2001,2001-11-06,1044478,638448,1682926
11/07/2001,2001-11-07,1033982,640396,1674378
11/08/2001,2001-11-08,1004574,636400,1640974
11/09/2001,2001-11-09,931849,620257,1552106
11/10/2001,2001-11-10,618184,322793,940977
11/11/2001,2001-11-11,416118,218931,635049
11/12/2001,2001-11-12,812747,527242,1339989
11/13/2001,2001-11-13,1026715,641101,1667816
11/14/2001,2001-11-14,994462,624162,1618624
11/15/2001,2001-11-15,983434,615519,1598953
11/16/2001,2001-11-16,1046467,623566,1670033
11/17/2001,2001-11-17,653210,354828,1008038
11/18/2001,2001-11-18,414683,201199,615882
11/19/2001,2001-11-19,999890,600948,1600838
11/20/2001,2001-11-20,1005581,612391,1617972
11/21/2001,2001-11-21,988420,589664,1578084
11/22/2001,2001-11-22,322788,151915,474703
11/23/2001,2001-11-23,641780,356646,998426
11/24/2001,2001-11-24,504548,253414,757962
11/25/2001,2001-11-25,373755,186416,560171
11/26/2001,2001-11-26,993754,600439,1594193
11/27/2001,2001-11-27,985583,613858,1599441
11/28/2001,2001-11-28,981842,614405,1596247
11/29/2001,2001-11-29,972155,613392,1585547
11/30/2001,2001-11-30,1039082,625037,1664119
12/01/2001,2001-12-01,640965,307646,948611
12/02/2001,2001-12-02,418878,210748,629626
12/03/2001,2001-12-03,1051222,599106,1650328
12/04/2001,2001-12-04,1049416,613294,1662710
12/05/2001,2001-12-05,1039940,622264,1662204
12/06/2001,2001-12-06,1020021,623428,1643449
12/07/2001,2001-12-07,1023743,618300,1642043
12/08/2001,2001-12-08,620074,315639,935713
12/09/2001,2001-12-09,406917,207697,614614
12/10/2001,2001-12-10,1005376,597416,1602792
12/11/2001,2001-12-11,1010462,614387,1624849
12/12/2001,2001-12-12,981259,609660,1590919
12/13/2001,2001-12-13,990166,610845,1601011
12/14/2001,2001-12-14,982986,600798,1583784
12/15/2001,2001-12-15,623138,319051,942189
12/16/2001,2001-12-16,407448,213347,620795
12/17/2001,2001-12-17,995060,593314,1588374
12/18/2001,2001-12-18,1014592,608735,1623327
12/19/2001,2001-12-19,958790,591815,1550605
12/20/2001,2001-12-20,987827,586572,1574399
12/21/2001,2001-12-21,994499,569456,1563955
12/22/2001,2001-12-22,586969,268254,855223
12/23/2001,2001-12-23,393359,184628,577987
12/24/2001,2001-12-24,525908,257022,782930
12/25/2001,2001-12-25,218872,93525,312397
12/26/2001,2001-12-26,619967,380064,1000031
12/27/2001,2001-12-27,690465,436814,1127279
12/28/2001,2001-12-28,739404,456879,1196283
12/29/2001,2001-12-29,473194,224772,697966
12/30/2001,2001-12-30,306871,160102,466973
12/31/2001,2001-12-31,650794,321388,972182
01/01/2002,2002-01-01,294360,122471,416831
01/02/2002,2002-01-02,766853,491630,1258483
01/03/2002,2002-01-03,838088,523292,1361380
01/04/2002,2002-01-04,858709,528849,1387558
01/05/2002,2002-01-05,542470,245820,788290
01/06/2002,2002-01-06,370508,177606,548114
01/07/2002,2002-01-07,953807,568929,1522736
01/08/2002,2002-01-08,973200,585667,1558867
01/09/2002,2002-01-09,985622,591671,1577293
01/10/2002,2002-01-10,974188,591742,1565930
01/11/2002,2002-01-11,1006535,591718,1598253
01/12/2002,2002-01-12,565955,266826,832781
01/13/2002,2002-01-13,371378,176272,547650
01/14/2002,2002-01-14,985931,593642,1579573
01/15/2002,2002-01-15,983090,601489,1584579
01/16/2002,2002-01-16,955758,608009,1563767
01/17/2002,2002-01-17,968715,598282,1566997
01/18/2002,2002-01-18,967930,581331,1549261
01/19/2002,2002-01-19,556405,273407,829812
01/20/2002,2002-01-20,374069,180903,554972
01/21/2002,2002-01-21,648994,392312,1041306
01/22/2002,2002-01-22,1012565,603877,1616442
01/23/2002,2002-01-23,990484,600427,1590911
01/24/2002,2002-01-24,1007218,605974,1613192
01/25/2002,2002-01-25,1028432,601352,1629784
01/26/2002,2002-01-26,611356,283489,894845
01/27/2002,2002-01-27,408878,189116,597994
01/28/2002,2002-01-28,1009923,595606,1605529
01/29/2002,2002-01-29,979719,597598,1577317
01/30/2002,2002-01-30,936013,602737,1538750
01/31/2002,2002-01-31,879895,602988,1482883
02/01/2002,2002-02-01,954707,585087,1539794
02/02/2002,2002-02-02,614544,273954,888498
02/03/2002,2002-02-03,401958,180019,581977
02/04/2002,2002-02-04,988315,576117,1564432
02/05/2002,2002-02-05,997471,596800,1594271
02/06/2002,2002-02-06,1011650,597747,1609397
02/07/2002,2002-02-07,1011915,600731,1612646
02/08/2002,2002-02-08,1027036,594502,1621538
02/09/2002,2002-02-09,650477,296011,946488
02/10/2002,2002-02-10,379613,180097,559710
02/11/2002,2002-02-11,985014,592118,1577132
02/12/2002,2002-02-12,811567,541814,1353381
02/13/2002,2002-02-13,1019675,612626,1632301
02/14/2002,2002-02-14,1014122,609706,1623828
02/15/2002,2002-02-15,1007654,589737,1597391
02/16/2002,2002-02-16,617307,292835,910142
02/17/2002,2002-02-17,423922,209261,633183
02/18/2002,2002-02-18,759013,458524,1217537
02/19/2002,2002-02-19,985390,597374,1582764
02/20/2002,2002-02-20,986615,601360,1587975
02/21/2002,2002-02-21,977261,603816,1581077
02/22/2002,2002-02-22,1016162,592329,1608491
02/23/2002,2002-02-23,629609,292764,922373
02/24/2002,2002-02-24,421160,199343,620503
02/25/2002,2002-02-25,979843,581612,1561455
02/26/2002,2002-02-26,933204,587918,1521122
02/27/2002,2002-02-27,939542,587701,1527243
02/28/2002,2002-02-28,941136,592045,1533181
03/01/2002,2002-03-01,973482,593596,1567078
03/02/2002,2002-03-02,512767,264847,777614
03/03/2002,2002-03-03,331715,174890,506605
03/04/2002,2002-03-04,726815,493625,1220440
03/05/2002,2002-03-05,978944,588656,1567600
03/06/2002,2002-03-06,1008215,593126,1601341
03/07/2002,2002-03-07,1008102,594952,1603054
03/08/2002,2002-03-08,993813,587766,1581579
03/09/2002,2002-03-09,493346,254471,747817
03/10/2002,2002-03-10,361758,180401,542159
03/11/2002,2002-03-11,1008613,591093,1599706
03/12/2002,2002-03-12,1021380,612457,1633837
03/13/2002,2002-03-13,1022145,615718,1637863
03/14/2002,2002-03-14,1010579,607626,1618205
03/15/2002,2002-03-15,1005654,591415,1597069
03/16/2002,2002-03-16,615103,342098,957201
03/17/2002,2002-03-17,390344,189640,579984
03/18/2002,2002-03-18,992913,579486,1572399
03/19/2002,2002-03-19,990801,590290,1581091
03/20/2002,2002-03-20,993245,591401,1584646
03/21/2002,2002-03-21,930667,574802,1505469
03/22/2002,2002-03-22,961386,564876,1526262
03/23/2002,2002-03-23,617210,290118,907328
03/24/2002,2002-03-24,370997,190845,561842
03/25/2002,2002-03-25,895573,544841,1440414
03/26/2002,2002-03-26,938869,571086,1509955
03/27/2002,2002-03-27,989393,580724,1570117
03/28/2002,2002-03-28,965734,571056,1536790
03/29/2002,2002-03-29,755230,472276,1227506
03/30/2002,2002-03-30,616271,268843,885114
03/31/2002,2002-03-31,377026,158135,535161
04/01/2002,2002-04-01,971162,566861,1538023
04/02/2002,2002-04-02,970537,585155,1555692
04/03/2002,2002-04-03,1007100,597081,1604181
04/04/2002,2002-04-04,995075,600930,1596005
04/05/2002,2002-04-05,1014222,613919,1628141
04/06/2002,2002-04-06,639707,318104,957811
04/07/2002,2002-04-07,355354,180625,535979
04/08/2002,2002-04-08,937560,578417,1515977
04/09/2002,2002-04-09,1013106,607047,1620153
04/10/2002,2002-04-10,1020986,618972,1639958
04/11/2002,2002-04-11,1036014,629240,1665254
04/12/2002,2002-04-12,917031,591700,1508731
04/13/2002,2002-04-13,631465,308737,940202
04/14/2002,2002-04-14,438900,210876,649776
04/15/2002,2002-04-15,926258,586214,1512472
04/16/2002,2002-04-16,899896,599906,1499802
04/17/2002,2002-04-17,892185,593532,1485717
04/18/2002,2002-04-18,896865,594280,1491145
04/19/2002,2002-04-19,905545,591974,1497519
04/20/2002,2002-04-20,574009,300177,874186
04/21/2002,2002-04-21,356144,190405,546549
04/22/2002,2002-04-22,974101,583247,1557348
04/23/2002,2002-04-23,1021788,620463,1642251
04/24/2002,2002-04-24,918721,602085,1520806
04/25/2002,2002-04-25,1000933,626040,1626973
04/26/2002,2002-04-26,1026348,615024,1641372
04/27/2002,2002-04-27,513069,272746,785815
04/28/2002,2002-04-28,365481,201038,566519
04/29/2002,2002-04-29,1001321,584792,1586113
04/30/2002,2002-04-30,1000608,604417,1605025
05/01/2002,2002-05-01,1031532,605198,1636730
05/02/2002,2002-05-02,976392,598086,1574478
05/03/2002,2002-05-03,1075694,606513,1682207
05/04/2002,2002-05-04,660227,312131,972358
